id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers
8051,0.42,AGSL,SI2,L, ,62.7,,4.81x4.78x3.01,Excellent,Australia,Round,Excellent,57.0,1,,595.05
8052,0.4,GemEx,VS2,M, ,63.8,,4.64x4.61x2.95,Excellent,Australia,Round,Excellent,59.0,1,,583.95
8053,0.41,AGSL,SI2,L, ,62.2,True,4.76x4.74x2.95,Excellent,DR Congo,Round,Very good,58.0,1,,573.425
8054,0.4,AGSL,SI1,K, ,64.2,False,4.63x4.59x2.96,Very good,Angola,Emerald,Very good,58.0,1,,661.4779166666667
8055,0.4,AGSL,VS2,L, ,64.3,False,4.67x4.62x2.99,Excellent,Russia,Round,Very good,,1,,632.755
8056,0.4,AGSL,SI2,K, ,59.8,,4.8x4.76x2.86,Very good,Russia,Emerald,Very good,61.0,1,,624.7316666666667
8057,0.4,AGSL,VS1,L, ,64.0,,4.69x4.62x2.98,Very good,Botswana,Emerald,Good,56.0,1,,648.2774999999999
8058,0.42,AGSL,VVS2,M, ,,,4.81x4.79x2.89,Very good,Russia,Round,Very good,,1,,615.75
8059,0.41,AGSL,SI1,K, ,61.3,False,4.8x4.77x2.93,Very good,Australia,Round,Excellent,59.0,1,,640.51
8060,0.4,GemEx,SI1,K, ,62.7,False,4.75x4.69x2.96,Good,Australia,Round,Very good,57.0,1,,627.51
8061,0.4,AGSL,VS2,K, ,63.1,,4.68x4.66x2.95,Very good,DR Congo,Emerald,Excellent,,1,,637.4666666666667
8062,0.4,AGSL,VS2,K, ,62.7,,4.71x4.68x2.94,Very good,Russia,Round,Very good,59.0,1,,646.6958333333333
8063,0.4,AGSL,VS1,K, ,64.8,,4.63x4.62x3,Very good,Australia,Round,Very good,58.0,1,,685.85
8064,0.4,GemEx,VVS2,L, ,,,4.69x4.65x3,Very good,Russia,Oval,Very good,54.0,1,,655.8066666666667
8065,0.41,AGSL,SI1,K, ,61.2,,4.83x4.81x2.95,Excellent,Zimbabwe,Round,Excellent,57.0,1,,643.5793452380952
8066,0.44,AGSL,VS2,L, ,62.3,,4.91x4.88x3.05,Very good,Russia,Round,Very good,56.0,1,,704.66
8067,0.43,AGSL,SI1,K, ,61.7,,4.82x4.81x2.97,Excellent,Russia,Round,Very good,,1,,650.9499999999999
8068,0.42,GemEx,SI1,K, ,61.8,,4.83x4.8x2.98,Excellent,Russia,Round,Excellent,,1,,642.518869047619
8069,0.41,AGSL,VS2,K, ,60.3,,4.83x4.79x2.9,Excellent,Russia,Round,Excellent,,1,,653.8708333333334
8070,0.4,AGSL,SI1,J, ,63.6,,4.67x4.64x2.96,Excellent,Botswana,Round,Excellent,58.0,1,,725.4976190476192
8071,0.4,AGSL,SI1,J, ,62.9,,4.64x4.62x2.91,Very good,Zimbabwe,Round,Good,59.0,1,,799.6969047619049
8072,0.41,GemEx,VS1,K, ,62.4,False,4.76x4.74x2.96,Excellent,Botswana,Round,Excellent,,1,,673.3
8073,0.4,AGSL,VS2,J, ,64.1,,4.64x4.6x2.96,Excellent,Russia,Round,Very good,59.0,1,,769.5425151237647
8074,0.4,,VVS1,K, ,61.7,,4.76x4.75x2.93,Very good,DR Congo,Oval,Excellent,58.0,1,,706.5828571428573
8075,0.4,AGSL,VVS1,K, ,60.2,False,4.81x4.77x2.88,Excellent,Russia,Radiant,Very good,61.0,1,,735.8833333333334
8076,0.4,AGSL,VVS1,K, ,61.9,,4.76x4.74x2.94,Excellent,Zimbabwe,Emerald,Very good,,1,,706.5828571428573
8077,0.44,,VS2,K, ,62.5,,4.88x4.87x3.05,Excellent,Botswana,Round,Excellent,57.0,1,,708.35
8078,0.41,GemEx,SI2,H, ,64.1,,4.64x4.68x2.99, ,Canada,Round, ,57.0,1,,843.11
8079,0.4,AGSL,SI1,J, ,59.1,,4.82x4.79x2.84,Very good,Botswana,Asscher,Very good,61.0,1,,725.4976190476192
8080,0.4,AGSL,SI2,H, ,62.7,,4.75x4.72x2.97,Excellent,Canada,Pear,Excellent,55.0,1,,810.6083333333332
8081,0.43,AGSL,SI2,J, ,61.7,,4.82x4.77x2.96,Very good,DR Congo,Pear,Very good,59.0,1,,724.5591666666666
8082,0.4,AGSL,SI2,G, ,62.4,,4.73x4.7x2.95,Very good,Australia,Round,Very good,57.0,1,,764.5876984126985
8083,0.4,AGSL,SI2,G, ,,,4.72x4.7x2.93,Very good,Botswana,Round,Excellent,,1,,834.9329104229106
8084,0.4,AGSL,SI1,J, ,62.0,,4.75x4.72x2.94,Very good,Botswana,Marquise,Excellent,,1,,725.4976190476192
