id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers
8051,0.42,AGSL,SI2,L, ,62.7,,4.81x4.78x3.01,Excellent,Australia,Round,Excellent,57.0,1,,598.975
8052,0.4,GemEx,VS2,M, ,63.8,,4.64x4.61x2.95,Excellent,Australia,Round,Excellent,59.0,1,,585.65
8053,0.41,AGSL,SI2,L, ,62.2,True,4.76x4.74x2.95,Excellent,DR Congo,Round,Very good,58.0,1,,65.03416666666666
8054,0.4,AGSL,SI1,K, ,64.2,False,4.63x4.59x2.96,Very good,Angola,Emerald,Very good,58.0,1,,65.435
8055,0.4,AGSL,VS2,L, ,64.3,False,4.67x4.62x2.99,Excellent,Russia,Round,Very good,,1,,631.755
8056,0.4,AGSL,SI2,K, ,59.8,,4.8x4.76x2.86,Very good,Russia,Emerald,Very good,61.0,1,,625.2762499999999
8057,0.4,AGSL,VS1,L, ,64.0,,4.69x4.62x2.98,Very good,Botswana,Emerald,Good,56.0,1,,646.035
8058,0.42,AGSL,VVS2,M, ,,,4.81x4.79x2.89,Very good,Russia,Round,Very good,,1,,610.4
8059,0.41,AGSL,SI1,K, ,61.3,False,4.8x4.77x2.93,Very good,Australia,Round,Excellent,59.0,1,,639.68
8060,0.4,GemEx,SI1,K, ,62.7,False,4.75x4.69x2.96,Good,Australia,Round,Very good,57.0,1,,630.28
8061,0.4,AGSL,VS2,K, ,63.1,,4.68x4.66x2.95,Very good,DR Congo,Emerald,Excellent,,1,,65.51
8062,0.4,AGSL,VS2,K, ,62.7,,4.71x4.68x2.94,Very good,Russia,Round,Very good,59.0,1,,647.5875
8063,0.4,AGSL,VS1,K, ,64.8,,4.63x4.62x3,Very good,Australia,Round,Very good,58.0,1,,687.25
8064,0.4,GemEx,VVS2,L, ,,,4.69x4.65x3,Very good,Russia,Oval,Very good,54.0,1,,663.3483333333335
8065,0.41,AGSL,SI1,K, ,61.2,,4.83x4.81x2.95,Excellent,Zimbabwe,Round,Excellent,57.0,1,,66.39399999999999
8066,0.44,AGSL,VS2,L, ,62.3,,4.91x4.88x3.05,Very good,Russia,Round,Very good,56.0,1,,746.285
8067,0.43,AGSL,SI1,K, ,61.7,,4.82x4.81x2.97,Excellent,Russia,Round,Very good,,1,,653.9999999999999
8068,0.42,GemEx,SI1,K, ,61.8,,4.83x4.8x2.98,Excellent,Russia,Round,Excellent,,1,,643.1317857142857
8069,0.41,AGSL,VS2,K, ,60.3,,4.83x4.79x2.9,Excellent,Russia,Round,Excellent,,1,,654.8875
